2024-09-21 17:38:55 status half-installed e2fsprogs:armhf 1.45.5-2ubuntu1
2024-09-21 17:38:55 status unpacked e2fsprogs:armhf 1.45.5-2ubuntu1
2024-09-21 17:38:56 install fdisk:armhf <none> 2.34-0.1ubuntu9
2024-09-21 17:38:56 status half-installed fdisk:armhf 2.34-0.1ubuntu9
2024-09-21 17:38:56 status unpacked fdisk:armhf 2.34-0.1ubuntu9
2024-09-21 17:38:57 install findutils:armhf <none> 4.7.0-1ubuntu1
2024-09-21 17:38:57 status half-installed findutils:armhf 4.7.0-1ubuntu1
2024-09-21 17:38:57 status unpacked findutils:armhf 4.7.0-1ubuntu1
2024-09-21 17:38:58 install gcc-10-base:armhf <none> 10-20200411-0ubuntu1
2024-09-21 17:38:58 status half-installed gcc-10-base:armhf 10-20200411-0ubuntu1
2024-09-21 17:38:58 status unpacked gcc-10-base:armhf 10-20200411-0ubuntu1
2024-09-21 17:38:58 install grep:armhf <none> 3.4-1
2024-09-21 17:38:58 status half-installed grep:armhf 3.4-1
2024-09-21 17:38:59 status unpacked grep:armhf 3.4-1
2024-09-21 17:38:59 install gzip:armhf <none> 1.10-0ubuntu4
2024-09-21 17:38:59 status half-installed gzip:armhf 1.10-0ubuntu4
2024-09-21 17:38:59 status unpacked gzip:armhf 1.10-0ubuntu4
2024-09-21 17:39:00 install hostname:armhf <none> 3.23
2024-09-21 17:39:00 status half-installed hostname:armhf 3.23
2024-09-21 17:39:00 status unpacked hostname:armhf 3.23
2024-09-21 17:39:00 install init-system-helpers:all <none> 1.57
2024-09-21 17:39:00 status half-installed init-system-helpers:all 1.57
2024-09-21 17:39:01 status unpacked init-system-helpers:all 1.57
2024-09-21 17:39:01 install libacl1:armhf <none> 2.2.53-6
2024-09-21 17:39:01 status half-installed libacl1:armhf 2.2.53-6
2024-09-21 17:39:02 status unpacked libacl1:armhf 2.2.53-6
2024-09-21 17:39:02 install libattr1:armhf <none> 1:2.4.48-5
2024-09-21 17:39:02 status half-installed libattr1:armhf 1:2.4.48-5
2024-09-21 17:39:02 status unpacked libattr1:armhf 1:2.4.48-5
2024-09-21 17:39:03 install libaudit-common:all <none> 1:2.8.5-2ubuntu6
2024-09-21 17:39:03 status half-installed libaudit-common:all 1:2.8.5-2ubuntu6
2024-09-21 17:39:03 status unpacked libaudit-common:all 1:2.8.5-2ubuntu6
2024-09-21 17:39:04 install libaudit1:armhf <none> 1:2.8.5-2ubuntu6
2024-09-21 17:39:04 status half-installed libaudit1:armhf 1:2.8.5-2ubuntu6
2024-09-21 17:39:04 status unpacked libaudit1:armhf 1:2.8.5-2ubuntu6
2024-09-21 17:39:05 install libblkid1:armhf <none> 2.34-0.1ubuntu9
2024-09-21 17:39:05 status half-installed libblkid1:armhf 2.34-0.1ubuntu9
2024-09-21 17:39:05 status unpacked libblkid1:armhf 2.34-0.1ubuntu9
2024-09-21 17:39:06 install libbz2-1.0:armhf <none> 1.0.8-2
2024-09-21 17:39:06 status half-installed libbz2-1.0:armhf 1.0.8-2
2024-09-21 17:39:06 status unpacked libbz2-1.0:armhf 1.0.8-2
2024-09-21 17:39:06 install libc-bin:armhf <none> 2.31-0ubuntu9
2024-09-21 17:39:06 status half-installed libc-bin:armhf 2.31-0ubuntu9
2024-09-21 17:39:07 status unpacked libc-bin:armhf 2.31-0ubuntu9
2024-09-21 17:39:08 upgrade libc6:armhf 2.31-0ubuntu9 2.31-0ubuntu9
2024-09-21 17:39:08 status half-configured libc6:armhf 2.31-0ubuntu9
2024-09-21 17:39:08 status unpacked libc6:armhf 2.31-0ubuntu9
2024-09-21 17:39:08 status half-installed libc6:armhf 2.31-0ubuntu9
2024-09-21 17:39:12 status unpacked libc6:armhf 2.31-0ubuntu9
2024-09-21 17:39:13 install libcap-ng0:armhf <none> 0.7.9-2.1build1
2024-09-21 17:39:13 status half-installed libcap-ng0:armhf 0.7.9-2.1build1
2024-09-21 17:39:13 status unpacked libcap-ng0:armhf 0.7.9-2.1build1
2024-09-21 17:39:13 install libcom-err2:armhf <none> 1.45.5-2ubuntu1
2024-09-21 17:39:13 status half-installed libcom-err2:armhf 1.45.5-2ubuntu1
2024-09-21 17:39:14 status unpacked libcom-err2:armhf 1.45.5-2ubuntu1
2024-09-21 17:39:14 install libcrypt1:armhf <none> 1:4.4.10-10ubuntu4
2024-09-21 17:39:14 status half-installed libcrypt1:armhf 1:4.4.10-10ubuntu4
2024-09-21 17:39:14 status unpacked libcrypt1:armhf 1:4.4.10-10ubuntu4
2024-09-21 17:39:15 install libdb5.3:armhf <none> 5.3.28+dfsg1-0.6ubuntu2
2024-09-21 17:39:15 status half-installed libdb5.3:armhf 5.3.28+dfsg1-0.6ubuntu2
2024-09-21 17:39:16 status unpacked libdb5.3:armhf 5.3.28+dfsg1-0.6ubuntu2
2024-09-21 17:39:16 install libdebconfclient0:armhf <none> 0.251ubuntu1
2024-09-21 17:39:16 status half-installed libdebconfclient0:armhf 0.251ubuntu1
2024-09-21 17:39:17 status unpacked libdebconfclient0:armhf 0.251ubuntu1
2024-09-21 17:39:17 install libext2fs2:armhf <none> 1.45.5-2ubuntu1
2024-09-21 17:39:17 status half-installed libext2fs2:armhf 1.45.5-2ubuntu1
2024-09-21 17:39:18 status unpacked libext2fs2:armhf 1.45.5-2ubuntu1
2024-09-21 17:39:18 install libfdisk1:armhf <none> 2.34-0.1ubuntu9
2024-09-21 17:39:18 status half-installed libfdisk1:armhf 2.34-0.1ubuntu9
2024-09-21 17:39:19 status unpacked libfdisk1:armhf 2.34-0.1ubuntu9
2024-09-21 17:39:19 install libgcc-s1:armhf <none> 10-20200411-0ubuntu1
2024-09-21 17:39:19 status half-installed libgcc-s1:armhf 10-20200411-0ubuntu1
2024-09-21 17:39:19 status unpacked libgcc-s1:armhf 10-20200411-0ubuntu1
2024-09-21 17:39:20 install libgcrypt20:armhf <none> 1.8.5-5ubuntu1
2024-09-21 17:39:20 status half-installed libgcrypt20:armhf 1.8.5-5ubuntu1
2024-09-21 17:39:20 status unpacked libgcrypt20:armhf 1.8.5-5ubuntu1
2024-09-21 17:39:22 install libgpg-error0:armhf <none> 1.37-1
2024-09-21 17:39:22 status half-installed libgpg-error0:armhf 1.37-1
2024-09-21 17:39:22 status unpacked libgpg-error0:armhf 1.37-1
2024-09-21 17:39:23 install liblz4-1:armhf <none> 1.9.2-2
2024-09-21 17:39:23 status half-installed liblz4-1:armhf 1.9.2-2
2024-09-21 17:39:23 status unpacked liblz4-1:armhf 1.9.2-2
2024-09-21 17:39:24 install liblzma5:armhf <none> 5.2.4-1
2024-09-21 17:39:24 status half-installed liblzma5:armhf 5.2.4-1
2024-09-21 17:39:24 status unpacked liblzma5:armhf 5.2.4-1
2024-09-21 17:39:25 install libmount1:armhf <none> 2.34-0.1ubuntu9
2024-09-21 17:39:25 status half-installed libmount1:armhf 2.34-0.1ubuntu9
2024-09-21 17:39:25 status unpacked libmount1:armhf 2.34-0.1ubuntu9
2024-09-21 17:39:25 install libncurses6:armhf <none> 6.2-0ubuntu2
2024-09-21 17:39:26 status half-installed libncurses6:armhf 6.2-0ubuntu2
2024-09-21 17:39:26 status unpacked libncurses6:armhf 6.2-0ubuntu2
2024-09-21 17:39:26 install libncursesw6:armhf <none> 6.2-0ubuntu2
2024-09-21 17:39:26 status half-installed libncursesw6:armhf 6.2-0ubuntu2
2024-09-21 17:39:27 status unpacked libncursesw6:armhf 6.2-0ubuntu2
2024-09-21 17:39:28 install libpam-modules:armhf <none> 1.3.1-5ubuntu4
2024-09-21 17:39:28 status half-installed libpam-modules:armhf 1.3.1-5ubuntu4
2024-09-21 17:39:29 status unpacked libpam-modules:armhf 1.3.1-5ubuntu4
2024-09-21 17:39:30 install libpam-modules-bin:armhf <none> 1.3.1-5ubuntu4
2024-09-21 17:39:30 status half-installed libpam-modules-bin:armhf 1.3.1-5ubuntu4
2024-09-21 17:39:30 status unpacked libpam-modules-bin:armhf 1.3.1-5ubuntu4
2024-09-21 17:39:31 install libpam-runtime:all <none> 1.3.1-5ubuntu4
